NaN,NaN,NaN,NaN,NaN,NaN,0.00011968,0.64814,0.63552,0.62764,0.61749,0.59745,0.58136,0.56749,0.5396,0.51456,0.48586,0.47311,0.47216,0.46237,0.47349,0.48968,0.50043,0.50893,0.51732,0.53603,0.55909,0.58058,0.60555,0.63569,0.6532,0.67693,0.70571,0.74087,0.76708,0.78689,0.793,0.80113,0.8066,0.81136,0.81303,0.80779,0.80731,0.80966,0.80745,0.80532,0.79264,0.77874,0.75569,0.7332,0.70009,0.67478,0.67447,0.67651,0.6754,0.67748,0.68244,0.6858,0.67602,0.67993,0.6817,0.68644,0.69231,0.70062,0.71398,0.7313,0.74581,0.76907,0.78991,0.80589,0.82028,0.82907,0.83884,0.84671,0.84622,0.84627,0.84436,0.84345,0.83274,0.82224,0.80042,0.78368,0.76719,0.76046,0.75926,0.75839,0.76654,0.77663,0.78051,0.77489,0.771,0.76453,0.75769,0.75993,0.75966,0.75863,0.75861,0.75478,0.757,0.76851,0.77475,0.7818,0.79228,0.80964,0.826,0.83834,0.84702,0.85872,0.86372,0.86638,0.87433,0.88174,0.8892,0.89148,0.89721,0.89884,0.90193,0.90212,0.90849,0.91194,0.91229,0.91542,0.9163,0.91483,0.91608,0.92314,0.93045,0.93689,0.93937,0.93991,0.94152,0.93993,0.94027,0.94037,0.94111,0.94629,0.95414,0.95649,0.95587,0.95686,0.95631,0.95904,0.95966,0.96315,0.96985,0.97689,0.98148,0.98474,0.98706,0.98623,0.98618,0.98484,0.98524,0.98566,0.9855,0.98629,0.98754,0.98844,0.98934,0.98972,0.99064,0.99024,0.98847,0.98469,0.982,0.9817,0.98056,0.97946,0.98066,0.9814,0.98059,0.97775,0.97464,0.96903,0.96155,0.9567,0.95501,0.95506,0.95681,0.95721,0.95906,0.9582,0.95726,0.95538,0.95181,0.94792,0.94081,0.93216,0.92474,0.91645,0.91263,0.90939,0.91265,0.91933,0.92806,0.94099,0.95068,0.96056,0.96378,0.96856,0.96869,0.96694,0.96138,0.9562,0.95243,0.94584,0.93626,0.92549,0.91989,0.91326,0.9041,0.88741,0.87212,0.8558,0.83489,0.82351,0.82252,0.82201,0.82221,0.82727,0.83665,0.83768,0.8333,0.837,0.84638,0.83727,0.82889,0.81999,0.80766,0.78568,0.76337,0.7408,0.7224,0.70077,0.6868,0.67894,0.67431,0.6493,0.63661,0.62104,0.61568,0.61138,0.62144,0.62537,0.62716,0.6334,0.64355,0.64974,0.64224,0.64303,0.63782,0.63572,0.62944,0.62511,0.62224,0.62737,0.62396
NaN,NaN,NaN,NaN,NaN,2.4102e-09,0.014869,0.65108,0.64246,0.63259,0.61835,0.59797,0.57981,0.57395,0.54503,0.53207,0.50877,0.49851,0.50603,0.49133,0.50554,0.51713,0.51813,0.5289,0.53935,0.5622,0.58164,0.60143,0.62536,0.65884,0.67616,0.70861,0.73932,0.77006,0.79542,0.81653,0.81838,0.82584,0.83382,0.83775,0.83969,0.84109,0.84744,0.8539,0.85404,0.85398,0.84857,0.83933,0.81947,0.80266,0.77911,0.76088,0.76329,0.76606,0.7681,0.7686,0.78119,0.78703,0.78885,0.78839,0.78452,0.78914,0.7946,0.79795,0.80269,0.80843,0.82253,0.84411,0.8589,0.87496,0.87829,0.8826,0.89139,0.89275,0.891,0.89587,0.9012,0.90081,0.89403,0.88316,0.86691,0.85514,0.83476,0.8242,0.81811,0.81088,0.81283,0.81492,0.81195,0.80269,0.79537,0.7864,0.7756,0.77029,0.76185,0.76144,0.75267,0.744,0.74133,0.75364,0.75504,0.75804,0.77324,0.78289,0.80646,0.82491,0.83282,0.84059,0.84388,0.85129,0.85701,0.86029,0.87036,0.87772,0.88182,0.87833,0.87676,0.87805,0.87914,0.8794,0.8744,0.87471,0.87332,0.87014,0.87897,0.88788,0.90014,0.90896,0.91371,0.91409,0.91415,0.91226,0.90826,0.90585,0.90897,0.92015,0.92895,0.92955,0.9274,0.92482,0.92412,0.92585,0.92828,0.93405,0.94582,0.95585,0.96379,0.96925,0.97148,0.97158,0.97408,0.97323,0.97427,0.97377,0.9743,0.97451,0.97634,0.9783,0.97976,0.98004,0.98086,0.97898,0.97783,0.97334,0.97274,0.9738,0.9742,0.97563,0.97681,0.97597,0.97576,0.97337,0.96923,0.96311,0.95512,0.95204,0.95121,0.95116,0.95015,0.95047,0.95136,0.95063,0.95291,0.95164,0.95025,0.94473,0.94038,0.93343,0.93008,0.92473,0.92273,0.92296,0.9267,0.92623,0.93215,0.94339,0.95493,0.9627,0.96488,0.97121,0.9713,0.96846,0.9638,0.95882,0.95451,0.94825,0.94047,0.93076,0.9194,0.91371,0.90375,0.89349,0.87711,0.85897,0.8427,0.82906,0.82475,0.82022,0.8227,0.81984,0.83199,0.83457,0.83337,0.83438,0.84094,0.83261,0.82656,0.81691,0.80445,0.78103,0.76332,0.74412,0.73619,0.72105,0.70345,0.6946,0.68781,0.66766,0.65078,0.63487,0.6279,0.62836,0.63546,0.63158,0.63408,0.64231,0.64657,0.64547,0.64373,0.64339,0.64285,0.64458,0.63426,0.62736,0.62807,0.63661,0.6427
NaN,NaN,NaN,NaN,NaN,1.0976e-09,0.26938,0.66414,0.64907,0.6456,0.63176,0.6155,0.60256,0.59073,0.56822,0.54996,0.53168,0.54398,0.536,0.51619,0.52816,0.5398,0.53948,0.55241,0.56737,0.59262,0.61804,0.64439,0.66679,0.69897,0.71398,0.74826,0.77694,0.80535,0.83141,0.84719,0.84986,0.84897,0.85489,0.86085,0.86618,0.87571,0.88752,0.89579,0.89853,0.9008,0.89644,0.89764,0.88083,0.86841,0.85198,0.84103,0.84398,0.8455,0.84918,0.84981,0.86124,0.8704,0.8771,0.87627,0.87364,0.87031,0.87545,0.87893,0.87668,0.87617,0.88795,0.90205,0.9116,0.92166,0.92624,0.93021,0.93282,0.93235,0.93444,0.93978,0.94227,0.94029,0.93797,0.9311,0.91932,0.90737,0.89175,0.88344,0.87388,0.86781,0.86652,0.86436,0.85452,0.84432,0.8336,0.81971,0.80902,0.80096,0.78762,0.78272,0.77175,0.76265,0.76452,0.76716,0.76868,0.7749,0.79191,0.80125,0.81443,0.8251,0.83901,0.84998,0.85493,0.86236,0.8671,0.87026,0.87652,0.88073,0.88112,0.87505,0.87367,0.87162,0.8671,0.85965,0.85091,0.84382,0.84356,0.8408,0.8478,0.86081,0.87801,0.88869,0.89558,0.89632,0.89253,0.887,0.88588,0.88347,0.88498,0.89521,0.90243,0.90528,0.90002,0.89319,0.88936,0.8899,0.89459,0.90307,0.92186,0.93249,0.94097,0.94978,0.95242,0.95332,0.955,0.95517,0.9567,0.95545,0.95748,0.95767,0.96178,0.96361,0.96541,0.96381,0.96309,0.96208,0.96065,0.95681,0.95956,0.95976,0.96297,0.96906,0.96991,0.96932,0.96791,0.96614,0.95896,0.94945,0.94053,0.93799,0.93567,0.93735,0.93638,0.93532,0.93744,0.93729,0.94066,0.94289,0.94008,0.93854,0.93639,0.93273,0.93323,0.93358,0.93099,0.93146,0.93325,0.93273,0.93768,0.94709,0.95487,0.96178,0.96388,0.96796,0.96805,0.96643,0.96094,0.9554,0.94821,0.94354,0.93926,0.93226,0.91966,0.91184,0.90377,0.8955,0.8824,0.87015,0.85403,0.83957,0.83674,0.83392,0.83375,0.8323,0.83969,0.83609,0.83438,0.83913,0.84704,0.84086,0.8297,0.82177,0.80855,0.79073,0.77365,0.75159,0.74767,0.73846,0.71529,0.70385,0.69493,0.6835,0.66385,0.64322,0.63503,0.63282,0.63875,0.64036,0.64172,0.64113,0.64097,0.63602,0.63406,0.63411,0.63985,0.64054,0.63146,0.6295,0.63478,0.64762,0.65954
NaN,NaN,NaN,NaN,NaN,2.2613e-08,0.69476,0.68287,0.66471,0.65449,0.64562,0.63207,0.62158,0.60825,0.59226,0.56935,0.55579,0.56804,0.55137,0.546,0.5518,0.55788,0.57128,0.5842,0.60105,0.63134,0.66114,0.68899,0.71601,0.74248,0.75591,0.78548,0.81551,0.83911,0.86139,0.875,0.88012,0.87361,0.8749,0.88011,0.88866,0.90439,0.91822,0.92692,0.9315,0.93508,0.93473,0.93603,0.92812,0.91852,0.90817,0.90537,0.90433,0.90238,0.90678,0.90873,0.91469,0.92486,0.92428,0.92568,0.92706,0.92406,0.92636,0.93077,0.92926,0.93033,0.93778,0.9431,0.94733,0.95517,0.95937,0.95864,0.95764,0.96068,0.96261,0.96532,0.96651,0.96414,0.96249,0.95788,0.94727,0.93764,0.92787,0.9206,0.90687,0.89806,0.89836,0.89289,0.88066,0.87191,0.85953,0.8476,0.83523,0.83022,0.81911,0.80726,0.79982,0.7975,0.80252,0.80212,0.80484,0.81243,0.8259,0.83498,0.84275,0.84435,0.85688,0.87172,0.87569,0.88102,0.88689,0.88856,0.89053,0.88574,0.88486,0.88014,0.87275,0.86824,0.86341,0.85072,0.83775,0.83204,0.82704,0.8303,0.83588,0.85021,0.86867,0.88084,0.88773,0.88924,0.88592,0.87713,0.8727,0.86819,0.86522,0.87136,0.87291,0.86907,0.85718,0.84656,0.84308,0.84703,0.85509,0.87018,0.89559,0.91113,0.91539,0.92505,0.92896,0.9322,0.93446,0.93513,0.93411,0.93407,0.93916,0.93813,0.94454,0.94637,0.94415,0.9448,0.94534,0.94253,0.93844,0.94003,0.943,0.94594,0.95098,0.95905,0.95868,0.9581,0.95737,0.95552,0.94614,0.93545,0.92222,0.91699,0.91462,0.91617,0.91761,0.91677,0.91739,0.91798,0.92223,0.92613,0.92796,0.93032,0.92974,0.92867,0.93107,0.9319,0.928,0.93396,0.93429,0.93701,0.94105,0.9455,0.95219,0.95769,0.95925,0.96053,0.96068,0.95755,0.95205,0.95001,0.94466,0.94279,0.9388,0.93374,0.92778,0.92152,0.91282,0.90249,0.89706,0.89186,0.88115,0.87115,0.86066,0.85689,0.85328,0.84902,0.85104,0.85192,0.85097,0.85118,0.85827,0.85529,0.84321,0.83332,0.81978,0.80609,0.79237,0.77189,0.75977,0.74811,0.72784,0.70722,0.69227,0.67961,0.6667,0.6465,0.63106,0.62994,0.63494,0.64015,0.63643,0.63282,0.63135,0.62228,0.62405,0.62063,0.62248,0.62672,0.62442,0.62857,0.63668,0.64982,0.66559
NaN,NaN,NaN,NaN,NaN,5.723e-05,0.72874,0.70591,0.68848,0.66728,0.6578,0.65218,0.64433,0.6381,0.61265,0.5921,0.57665,0.5899,0.56507,0.56898,0.5754,0.57843,0.59476,0.61151,0.62873,0.65355,0.68498,0.70716,0.74316,0.76966,0.78216,0.79905,0.825,0.84038,0.86256,0.8735,0.88015,0.87667,0.87753,0.88746,0.89761,0.91666,0.93295,0.94141,0.9484,0.95483,0.95788,0.95898,0.95802,0.95037,0.9452,0.94653,0.9458,0.94367,0.94396,0.94343,0.94382,0.94891,0.95144,0.95379,0.95594,0.95801,0.96123,0.96198,0.96062,0.96056,0.96307,0.96558,0.9686,0.9724,0.97272,0.97083,0.97145,0.97237,0.97257,0.97366,0.97586,0.97492,0.97285,0.96987,0.96317,0.95823,0.94861,0.93896,0.92467,0.91138,0.90386,0.89626,0.89077,0.88363,0.87506,0.86545,0.85575,0.84465,0.83801,0.8252,0.82552,0.83507,0.84202,0.84676,0.84863,0.85051,0.85849,0.8615,0.86208,0.86871,0.87928,0.88852,0.8902,0.8949,0.89406,0.89082,0.89151,0.88545,0.88509,0.8775,0.86739,0.85752,0.84939,0.83987,0.82955,0.82366,0.81822,0.82726,0.83445,0.85139,0.86308,0.87187,0.87661,0.8785,0.87585,0.86782,0.8636,0.85391,0.84981,0.8534,0.84646,0.83645,0.82095,0.80587,0.80129,0.80848,0.82185,0.84068,0.8665,0.8825,0.88914,0.89846,0.90384,0.91072,0.91475,0.91467,0.91184,0.91379,0.91823,0.91607,0.92016,0.924,0.92128,0.92403,0.92664,0.91923,0.91686,0.91954,0.92302,0.92884,0.93436,0.94378,0.94608,0.94531,0.94513,0.9404,0.92914,0.91638,0.90158,0.89391,0.89183,0.89265,0.89283,0.89002,0.89092,0.89717,0.90226,0.90571,0.90721,0.91352,0.91391,0.91449,0.9194,0.91902,0.91825,0.92321,0.92625,0.93457,0.93685,0.939,0.94298,0.9487,0.94995,0.95093,0.95064,0.94839,0.94544,0.94519,0.9489,0.94807,0.94531,0.9408,0.93812,0.93388,0.92634,0.91861,0.91385,0.91391,0.90839,0.89758,0.88548,0.88651,0.88123,0.8721,0.87366,0.87823,0.87686,0.87164,0.87704,0.87419,0.87046,0.86131,0.84697,0.83403,0.81937,0.80422,0.78008,0.75626,0.74147,0.7157,0.69292,0.67948,0.66876,0.64925,0.63895,0.63813,0.63805,0.63539,0.62557,0.62358,0.61936,0.60537,0.60778,0.60695,0.60863,0.60974,0.60984,0.61808,0.6339,0.64552,0.65972
NaN,NaN,NaN,NaN,NaN,0.013012,0.77061,0.74955,0.72078,0.6979,0.68157,0.67227,0.66452,0.65039,0.62073,0.60243,0.62044,0.60142,0.58863,0.58539,0.59683,0.60451,0.62088,0.6363,0.65254,0.67254,0.70152,0.72354,0.7571,0.78309,0.79446,0.80661,0.82497,0.83676,0.84506,0.85062,0.85532,0.85238,0.85929,0.87412,0.88825,0.91014,0.92726,0.94219,0.95135,0.9607,0.96672,0.96978,0.97315,0.97122,0.96924,0.97042,0.97092,0.9678,0.96602,0.96344,0.96283,0.96482,0.96865,0.97157,0.97364,0.97447,0.97763,0.97723,0.97633,0.97565,0.97629,0.97699,0.9769,0.97722,0.97574,0.97386,0.97313,0.97338,0.97443,0.97514,0.97744,0.97754,0.97655,0.97324,0.96945,0.96409,0.95532,0.94606,0.92977,0.91487,0.90314,0.89442,0.88846,0.87952,0.87276,0.86693,0.8547,0.84095,0.8335,0.82769,0.83139,0.85277,0.86251,0.87369,0.87428,0.86792,0.86752,0.87222,0.87102,0.88213,0.89116,0.89331,0.89022,0.8933,0.88728,0.87956,0.87569,0.86921,0.86626,0.86157,0.84897,0.84105,0.836,0.82904,0.8246,0.81981,0.8185,0.8237,0.83211,0.84425,0.84972,0.85437,0.8554,0.85812,0.85311,0.85201,0.85261,0.84119,0.83254,0.82831,0.81624,0.80251,0.7868,0.77318,0.77198,0.77833,0.79394,0.81216,0.83457,0.85124,0.8627,0.87514,0.88039,0.8863,0.88894,0.89202,0.89225,0.89171,0.89663,0.8979,0.89959,0.90368,0.90795,0.90948,0.90913,0.90206,0.90022,0.90294,0.90545,0.91289,0.91491,0.92541,0.93003,0.93109,0.92702,0.92119,0.91115,0.89525,0.88578,0.87596,0.87405,0.87592,0.87337,0.87585,0.87217,0.8752,0.88043,0.88987,0.89193,0.8963,0.89838,0.90397,0.90852,0.91025,0.9128,0.91566,0.92071,0.92811,0.92949,0.93254,0.93671,0.93846,0.94062,0.94152,0.94259,0.94591,0.94617,0.95091,0.95707,0.95939,0.95969,0.95741,0.95646,0.95121,0.94407,0.93925,0.93539,0.93816,0.93427,0.92733,0.9215,0.92069,0.919,0.91178,0.9113,0.91339,0.91215,0.90621,0.9054,0.90448,0.90163,0.89084,0.8839,0.87427,0.85849,0.83592,0.81611,0.79199,0.77194,0.74749,0.71487,0.70016,0.68785,0.67127,0.66556,0.65747,0.65769,0.65274,0.64338,0.63178,0.62433,0.6078,0.60888,0.60702,0.608,0.60076,0.6043,0.61164,0.62698,0.63749,0.65546
NaN,NaN,NaN,NaN,1.4461e-09,0.35225,0.8295,0.80062,0.76722,0.74257,0.71862,0.69798,0.68468,0.66496,0.63985,0.62012,0.63803,0.61638,0.61582,0.61431,0.63371,0.64416,0.66023,0.67432,0.69315,0.71406,0.73463,0.76417,0.78655,0.79929,0.81376,0.82427,0.82301,0.82739,0.82279,0.81866,0.81997,0.81717,0.82925,0.84706,0.86691,0.89234,0.91505,0.93591,0.94688,0.95792,0.96956,0.97484,0.97992,0.9805,0.9805,0.98161,0.98124,0.9781,0.97563,0.97191,0.97303,0.97414,0.97645,0.97988,0.98029,0.97983,0.98158,0.98178,0.98107,0.97997,0.97984,0.97893,0.97696,0.97677,0.9745,0.97232,0.97174,0.97019,0.97043,0.97029,0.97202,0.97463,0.97276,0.9701,0.96726,0.96174,0.95621,0.94929,0.93308,0.91456,0.90157,0.88926,0.87778,0.86857,0.86348,0.8598,0.84542,0.83147,0.82493,0.82365,0.83057,0.85143,0.86615,0.87642,0.88234,0.87255,0.86755,0.87509,0.87395,0.87581,0.88153,0.88306,0.87865,0.87299,0.86393,0.85139,0.8406,0.83611,0.83421,0.83003,0.82858,0.82366,0.82588,0.81985,0.81563,0.81139,0.81243,0.81302,0.82134,0.82516,0.82779,0.83393,0.83061,0.82507,0.81898,0.82209,0.82119,0.81672,0.80828,0.79952,0.78633,0.77274,0.76013,0.74696,0.7483,0.75823,0.77392,0.79046,0.81278,0.82844,0.84059,0.85525,0.86378,0.8659,0.86889,0.87836,0.87913,0.87798,0.882,0.88362,0.89048,0.89442,0.89928,0.9012,0.90048,0.89655,0.88811,0.88539,0.88854,0.89344,0.89582,0.90601,0.91067,0.91366,0.90884,0.90818,0.90268,0.88995,0.88231,0.87257,0.87148,0.8691,0.86719,0.86734,0.86272,0.86344,0.86862,0.87621,0.88313,0.88731,0.89267,0.89957,0.90414,0.90786,0.91119,0.91636,0.92424,0.93397,0.93595,0.93954,0.93918,0.93788,0.93666,0.93855,0.94277,0.9487,0.95584,0.96238,0.96788,0.97267,0.97353,0.97101,0.96977,0.9641,0.96174,0.95923,0.95777,0.95953,0.95677,0.95381,0.95139,0.95078,0.94926,0.94578,0.94271,0.94523,0.94626,0.94114,0.93816,0.9353,0.9339,0.92326,0.91875,0.91457,0.90032,0.88246,0.86903,0.8469,0.825,0.79741,0.76672,0.74598,0.72828,0.71502,0.71052,0.70121,0.70785,0.69842,0.68431,0.66984,0.65903,0.63908,0.63476,0.62529,0.62807,0.62217,0.62214,0.62705,0.63895,0.65019,0.66395
NaN,NaN,NaN,NaN,1.0731e-08,0.88536,0.88343,0.85577,0.8248,0.79841,0.77078,0.74569,0.72522,0.70116,0.67499,0.65361,0.66414,0.64767,0.66143,0.67731,0.69319,0.70304,0.71816,0.73369,0.74554,0.76336,0.77575,0.7993,0.81702,0.82419,0.82949,0.83071,0.81422,0.80272,0.79432,0.78431,0.78089,0.77986,0.79046,0.81182,0.84322,0.8791,0.90552,0.92352,0.94029,0.95143,0.96419,0.96994,0.97719,0.98108,0.98272,0.98274,0.98115,0.97818,0.97398,0.97159,0.97334,0.97407,0.97699,0.98026,0.98128,0.9805,0.98051,0.98087,0.97921,0.97862,0.97768,0.9762,0.97329,0.97284,0.97011,0.96729,0.96541,0.96358,0.96315,0.96256,0.96398,0.96489,0.96518,0.96297,0.96156,0.95789,0.95373,0.94626,0.93059,0.91625,0.90399,0.89011,0.87925,0.86795,0.85849,0.85191,0.84184,0.82791,0.82841,0.82876,0.83274,0.84582,0.86233,0.87109,0.87751,0.86653,0.86303,0.86517,0.86352,0.86688,0.8706,0.86992,0.86133,0.84895,0.83065,0.81346,0.80002,0.80223,0.79818,0.79488,0.80328,0.80245,0.80592,0.80182,0.80183,0.79832,0.79571,0.79429,0.80026,0.80244,0.80257,0.80341,0.79979,0.78992,0.784,0.78601,0.78678,0.78462,0.77846,0.77134,0.76575,0.74964,0.73195,0.73151,0.73149,0.74168,0.76464,0.78104,0.79555,0.8112,0.82055,0.8326,0.84396,0.85304,0.85748,0.86573,0.86974,0.87214,0.87912,0.88251,0.89238,0.8989,0.9029,0.90003,0.89933,0.89909,0.89193,0.88507,0.88315,0.88519,0.88389,0.88924,0.89676,0.89978,0.8964,0.89804,0.90398,0.89654,0.88714,0.88142,0.87837,0.86812,0.86633,0.86128,0.85991,0.86298,0.86721,0.87484,0.88366,0.88575,0.88929,0.89516,0.90036,0.90858,0.91377,0.92113,0.93038,0.9385,0.94125,0.94466,0.94557,0.94547,0.94059,0.94407,0.94677,0.95444,0.96377,0.97075,0.9761,0.97978,0.9813,0.98079,0.97933,0.97724,0.97495,0.9744,0.97494,0.9762,0.97357,0.97199,0.97102,0.97154,0.96763,0.96416,0.9616,0.96269,0.96338,0.96014,0.95995,0.95758,0.95409,0.94794,0.94563,0.94229,0.93398,0.92339,0.91051,0.89192,0.87697,0.85415,0.82599,0.79711,0.77777,0.77037,0.76377,0.76143,0.76475,0.75729,0.73874,0.72115,0.70455,0.69049,0.67982,0.67,0.6676,0.66576,0.66534,0.66788,0.67401,0.68175,0.68622
NaN,NaN,NaN,NaN,5.8638e-05,0.94066,0.92376,0.90724,0.8818,0.86112,0.8364,0.80811,0.78253,0.74951,0.72431,0.72883,0.72071,0.70837,0.71557,0.74089,0.75766,0.77482,0.78559,0.79775,0.80559,0.81474,0.82438,0.83468,0.8462,0.84278,0.83707,0.82397,0.79803,0.77535,0.75904,0.73755,0.73336,0.74111,0.75508,0.77751,0.80715,0.85002,0.87395,0.89312,0.91817,0.92639,0.93739,0.94991,0.96092,0.97118,0.97462,0.9738,0.97114,0.96831,0.96491,0.96291,0.96451,0.96532,0.96918,0.97382,0.97753,0.97674,0.97413,0.97413,0.97298,0.97136,0.96977,0.96759,0.96455,0.96208,0.96215,0.95968,0.9552,0.95348,0.95288,0.95309,0.9517,0.9535,0.95404,0.95183,0.95186,0.95001,0.94891,0.94384,0.93095,0.92003,0.90781,0.89507,0.8803,0.87202,0.8639,0.85403,0.84761,0.83561,0.83159,0.83372,0.84173,0.8517,0.86055,0.86735,0.87004,0.86432,0.86026,0.85503,0.85555,0.85897,0.85631,0.85522,0.84518,0.83673,0.81517,0.78826,0.77084,0.76342,0.75984,0.76366,0.77156,0.77495,0.77506,0.77849,0.78257,0.77721,0.77508,0.77392,0.77647,0.77751,0.78167,0.77513,0.76353,0.75373,0.74562,0.74909,0.75139,0.75124,0.7502,0.74668,0.73906,0.72698,0.71278,0.72247,0.72536,0.73953,0.75919,0.77071,0.78461,0.79612,0.80535,0.81427,0.8256,0.84028,0.8451,0.85372,0.85946,0.86859,0.8778,0.88518,0.89412,0.90284,0.90472,0.90428,0.90549,0.90386,0.89868,0.89437,0.88548,0.88339,0.87999,0.88244,0.88822,0.88992,0.89081,0.89477,0.902,0.90341,0.8988,0.89602,0.88494,0.87352,0.86927,0.86137,0.86098,0.86405,0.8698,0.87754,0.89269,0.89372,0.89612,0.89927,0.90044,0.91034,0.91679,0.92833,0.93806,0.94443,0.9492,0.9489,0.95026,0.95181,0.94814,0.95309,0.95855,0.96371,0.9703,0.97617,0.98373,0.98659,0.98721,0.98626,0.9866,0.98618,0.98442,0.98345,0.98347,0.98303,0.98305,0.98097,0.98009,0.97915,0.97605,0.97356,0.97124,0.97002,0.97062,0.96819,0.96863,0.96758,0.96495,0.96149,0.95792,0.95698,0.95193,0.94734,0.93903,0.92745,0.91732,0.89871,0.87254,0.84626,0.82896,0.8217,0.81312,0.81483,0.81526,0.80783,0.79472,0.77704,0.75183,0.73584,0.72316,0.71818,0.71776,0.71706,0.71407,0.715,0.71223,0.71851,0.72201
NaN,NaN,NaN,NaN,0.027746,0.9581,0.9514,0.94059,0.92103,0.9052,0.88923,0.86532,0.84001,0.81445,0.7935,0.79367,0.7877,0.78604,0.7902,0.80636,0.82171,0.84105,0.85081,0.86182,0.86407,0.86091,0.86054,0.86318,0.86508,0.85411,0.83651,0.81035,0.77171,0.73507,0.71398,0.69611,0.68582,0.69393,0.70611,0.73322,0.7594,0.78993,0.81578,0.83457,0.86106,0.8676,0.88028,0.9022,0.91868,0.93604,0.94328,0.94748,0.9437,0.94447,0.94274,0.9413,0.9438,0.94651,0.95134,0.95714,0.96089,0.96214,0.96097,0.95952,0.95613,0.95418,0.95451,0.95165,0.94893,0.94702,0.94839,0.94386,0.94271,0.93849,0.93623,0.93774,0.9353,0.93611,0.93725,0.93997,0.94109,0.94065,0.94149,0.94024,0.93401,0.92568,0.91145,0.89525,0.87921,0.87442,0.87019,0.85934,0.85132,0.8447,0.84481,0.84421,0.85436,0.86216,0.86676,0.86741,0.86683,0.86091,0.85728,0.85226,0.85411,0.85456,0.84939,0.84976,0.8374,0.82004,0.79832,0.76501,0.74263,0.73239,0.73383,0.73833,0.74118,0.74215,0.7469,0.7558,0.75738,0.75625,0.75953,0.75938,0.76199,0.76386,0.7621,0.75327,0.74264,0.72873,0.72067,0.72386,0.72328,0.72487,0.72703,0.725,0.71592,0.71054,0.70395,0.71153,0.71888,0.73716,0.74903,0.76454,0.78155,0.79062,0.80177,0.80991,0.81805,0.83167,0.83898,0.8512,0.85597,0.86603,0.87613,0.88608,0.89601,0.90077,0.90397,0.90612,0.90896,0.90711,0.90526,0.9009,0.89078,0.88448,0.88114,0.88194,0.88483,0.88801,0.89462,0.89749,0.9017,0.9078,0.90872,0.90318,0.89024,0.87723,0.87131,0.86255,0.86186,0.86256,0.8719,0.88095,0.89564,0.89869,0.9013,0.90242,0.90486,0.91117,0.91877,0.9286,0.93978,0.94924,0.95496,0.95563,0.95651,0.95846,0.95827,0.96178,0.96562,0.97168,0.97816,0.98232,0.9871,0.9898,0.99038,0.99015,0.99097,0.99084,0.98999,0.98877,0.98793,0.98678,0.98694,0.98572,0.98329,0.98175,0.97964,0.97567,0.97388,0.97334,0.97428,0.97389,0.97314,0.97183,0.97015,0.96793,0.96556,0.96535,0.96157,0.96009,0.95571,0.94999,0.94117,0.92737,0.90952,0.8925,0.87264,0.86271,0.85574,0.85612,0.85414,0.8466,0.83643,0.82423,0.80008,0.77583,0.75918,0.75351,0.7503,0.7589,0.75478,0.75066,0.7496,0.75151,0.75432
